"","seq_orgao","seq_orgao_pai","latitude","longitude","placeId"
"110","10096","1967.0",-22.1095,-50.1714,"ChIJe1EPctiClZQRiD9kbqYisaA"
"111","10097","1973.0",-20.4378,-50.5233,"ChIJwZdxQvGFl5QRAw03C6ByWGo"
"112","10098","1973.0",-20.4404,-50.522,"ChIJwZdxQvGFl5QRQ9XpARXWfbw"
"113","10099","1979.0",-23.1752,-48.1238,"ChIJ52kM4HaJxpQR_LBMaO3OsAU"
"114","101","13641.0",-25.3193,-49.3042,"ChIJtSss-nve3JQRafydorzTdRY"
"115","10100","1998.0",-23.2157,-47.5248,"ChIJO1EQBwv-xZQRJcdhqzLm30A"
"116","10101","1998.0",-23.2157,-47.5248,"ChIJO1EQBwv-xZQRJcdhqzLm30A"
"117","10102","1998.0",-23.2157,-47.5248,"ChIJO1EQBwv-xZQRJcdhqzLm30A"
"118","10103","1999.0",-21.8542,-47.4828,"ChIJRSz5Z0kCuJQRWcUTDbC33nE"
"119","10104","1999.0",-21.8542,-47.4828,"ChIJRSz5Z0kCuJQRWcUTDbC33nE"
"120","10105","1999.0",-21.8542,-47.4828,"ChIJRSz5Z0kCuJQRWcUTDbC33nE"
"121","10106","2013.0",-21.0424,-49.3766,"ChIJVXQeP0PLvZQRx_je7n66Pq0"
"122","10107","2013.0",-21.0424,-49.3766,"ChIJVXQeP0PLvZQRx_je7n66Pq0"
"123","10108","2019.0",-24.0281,-46.4976,"ChIJh5ttFHMfzpQRrwDixyc_YJE"
"124","10109","2019.0",-24.0281,-46.4976,"ChIJh5ttFHMfzpQRrwDixyc_YJE"
"125","1011","13651.0",-28.8479,-51.8901,"ChIJSQgimr1QHJURtEyVyWoGwHs"
"126","10110","2019.0",-24.0281,-46.4976,"ChIJh5ttFHMfzpQRrwDixyc_YJE"
"127","10111","2019.0",-24.0281,-46.4976,"ChIJh5ttFHMfzpQRrwDixyc_YJE"
"128","10112","2019.0",-24.0281,-46.4976,"ChIJh5ttFHMfzpQRrwDixyc_YJE"
"129","10113","2019.0",-24.0281,-46.4976,"ChIJh5ttFHMfzpQRrwDixyc_YJE"
"130","10114","2019.0",-24.0281,-46.4976,"ChIJh5ttFHMfzpQRrwDixyc_YJE"
"131","10115","2019.0",-24.0281,-46.4976,"ChIJh5ttFHMfzpQRrwDixyc_YJE"
"132","10116","2019.0",-24.0281,-46.4976,"ChIJh5ttFHMfzpQRrwDixyc_YJE"
"133","10117","2024.0",-22.007,-51.5522,"ChIJaeBKAfTkk5QR1fplaT8mNx4"
"134","10118","2024.0",-22.007,-51.5522,"ChIJaeBKAfTkk5QR1fplaT8mNx4"
"135","10119","2027.0",-21.7627,-52.1043,"Ej5Bdi4gUHJlcy4gVmFyZ2FzLCAxMzEsIFByZXMuIEVwaXTDoWNpbyAtIFNQLCAxOTQ3MC0wMDAsIEJyYXppbCIbEhkKFAoSCSXSDBEtn5GUEUvHArnR59d5EIMB"
"136","1012","13657.0",-20.4314,-47.8279,"ChIJDY6B6ulDupQR5hx1g5WNr6g"
